aah	symbol. ISO 639-3 language code for Abu'.
aahed	verb. simple past and past participle of aah
aal	symbol. ISO 639-3 language code for Afade.
aals	noun. plural of aal
aardvark	noun. The nocturnal, insectivorous, burrowing mammal Orycteropus afer, of the order Tubulidentata and somewhat resembling a pig.
aas	symbol. ISO 639-3 language code for Asa.
aba	symbol. ISO 639-3 language code for Abé.
aback	adverb. Towards the back or rear; backwards.
abas	noun. A cutaneous disease; the scald-head. porrigo
abase	verb. To lower, as in condition in life, office, rank, etc., so as to cause pain or hurt feelings; to degrade, to depress, to humble, to
abased	adjective. Humbled; lowered, especially in rank, position, or prestige.
abate	verb. To lessen (something) in force or intensity; to moderate.
abated	verb. simple past and past participle of abate
abates	noun. plural of abate
abbe	noun. Alternative spelling of abbé.
abbes	noun. plural of abbe
abed	adverb. In bed, or on the bed; confined to bed.
abele	noun. The white poplar (Populus alba).
abeles	noun. plural of abele
abelia	noun. Any of the various honeysuckles of the genus Abelia.
abet	verb. To incite; to assist or encourage by aid or countenance in crime.
abets	verb. third-person singular simple present indicative of abet
abhor	verb. To regard (someone or something) as horrifying or detestable; to feel great repugnance toward.
abide	verb. To endure without yielding; to withstand.
abided	verb. simple past and past participle of abide
abides	verb. third-person singular simple present indicative of abide
ablate	verb. To remove or decrease something by cutting, erosion, melting, evaporation, or vaporization.
able	adjective. Having the necessary powers or the needed resources to accomplish a task.
abler	adjective. comparative form of able: more able
ables	verb. third-person singular simple present indicative of able
ablest	adjective. superlative form of able: most able
ablings	adverb. Alternative form of aiblins.
ably	adverb. In an able manner; with great ability.
abmho	noun. A unit of measurement (10 mhos) in the centimeter-gram-second scale used to measure conductance
abnormal	adjective. Not conforming to rule or system; deviating from the usual or normal type.
abo	symbol. ISO 639-3 language code for Abon.
abode	noun. Act of waiting; delay.
abodes	noun. plural of abode
abohm	noun. A unit of electrical resistance equal to one billionth of an ohm (10 ohms), used in the centimeter-gram-second system of units.
aboma	noun. Any of the large South American serpents from the genus Boa or related genera.
aboon	preposition. Above.
aboral	adjective. Situated opposite to, or away from, the mouth.
abort	noun. An early termination of a mission, action, or procedure in relation to missiles or spacecraft; the craft making such a mission.
abortion	noun. The expulsion from the womb of a foetus or embryo before it is fully developed, with loss of the foetus.
abos	noun. plural of abo
abound	verb. To be full to overflowing; to bristle.
about	preposition. In a circle around; all round; on every side of; on the outside of; around.
above	preposition. Physically over; on top of; worn on top of, said of clothing.
abrade	verb. To rub or wear off; erode.
abri	noun. a shelter; a cavity in a hillside; a shelter on the side of hill with an overhung rock as its roof
abrupt	adjective. Broken away (from restraint).
abs	symbol. ISO 639-3 language code for Ambonese Malay.
abseil	verb. To descend a steep or vertical drop using a rope with a mechanical friction device or (classic abseil) by wrapping the rope around
absent	adjective. Being away from a place; withdrawn from a place; existing but not present; missing.
absolute	adjective. Free of restrictions, limitations, qualifications or conditions; unconditional.
absorb	verb. To include so that it no longer has separate existence; to overwhelm; to cause to disappear as if by swallowing up; to incorporate;
absorbed	adjective. Fully occupied with one's thoughts; engrossed.
abstract	noun. An abridgement or summary of a longer publication.
abuse	noun. Improper treatment or usage; application to a wrong or bad purpose; an unjust, corrupt or wrongful practice or custom.
abused	verb. simple past and past participle of abuse
abut	verb. To touch by means of a mutual border, edge or end; to border on; to lie adjacent (to); to be contiguous (said of an area of land)
abuts	verb. third-person singular simple present indicative of abut
aby	symbol. ISO 639-3 language code for Aneme Wake.
abye	verb. Alternative form of aby.
abyes	verb. third-person singular simple present indicative of abye
abysm	noun. Hell; the infernal pit; the great deep; the primal chaos.
abysms	noun. plural of abysm
abyss	noun. Hell; the bottomless pit; primeval chaos; a confined subterranean ocean.
academic	adjective. Belonging to the school or philosophy of Plato.
acari	noun. plural of acarus
acarid	noun. Any parasitic arachnid, such as mites and ticks, of the subclass Acarina.
acarine	adjective. Of or caused by acari or mites.
accede	verb. To agree or assent [with to ‘a proposal, a request’]; to give way.
accent	noun. A higher-pitched or stronger (louder or longer) articulation of a particular syllable of a word or phrase in order to distinguish it
accept	verb. To receive, especially with a consent, with favour, or with approval.
accepted	verb. simple past and past participle of accept
accident	noun. An unexpected event with negative consequences occurring without the intention of the one suffering the consequences, and (in the
accost	verb. To approach and speak to boldly or aggressively, as with a demand or request.
accrue	verb. To increase, to rise
accurate	adjective. Telling the truth or giving a true result; exact; not defective or faulty.
accustom	verb. To make familiar by use; to cause to accept; to habituate, familiarize, or inure.
ace	symbol. ISO 639-2 & ISO 639-3 language code for Acehnese.
aced	verb. simple past and past participle of ace
acedia	noun. Spiritual or mental sloth and the feeling it provokes; apathy or indifference; a lack of care or interest and the resultant avoidance
aces	noun. plural of ace
aceta	noun. plural of acetum
acetal	noun. Any diether of a geminal diol, R 2 C(OR') 2 (where R' is not H).
acetic	adjective. Of, pertaining to, or producing vinegar.
acetin	noun. the triglyceride of acetic acid
acetins	noun. plural of acetin
acetone	noun. A colourless, volatile, flammable liquid ketone, (CH 3) 2 CO, used as a solvent.
acetyl	noun. The univalent radical CH 3 CO- derived from acetic acid.
ache	verb. To suffer pain; to be the source of, or be in, pain, especially continued dull pain; to be distressed.
ached	verb. simple past and past participle of ache
achene	noun. A small, dry, indehiscent fruit, containing a single seed, as in the buttercup.
aches	noun. plural of ache
achier	adjective. comparative form of achy / achey: more achy / achey
aching	verb. present participle and gerund of ache
achy	adjective. With or suffering from aches; sore.
acid	adjective. Sour, sharp, or biting to the taste; tart; having the taste of vinegar.
acids	noun. plural of acid
acidy	adjective. Like an acid, somewhat acidic.
acinar	adjective. Of, pertaining to, or located in an acinus.
acing	verb. present participle and gerund of ace
acini	noun. plural of acinus
acinus	noun. One of the small grains or drupelets which make up some kinds of fruit, as the blackberry, raspberry, etc.
ackee	noun. A tropical evergreen tree, Blighia sapida, related to the lychee and longan.
acme	noun. A high point: the highest point of any range, the most developed stage of any process, or the culmination of any field or historical
acmes	noun. plural of acme
acmic	adjective. peak
acne	noun. A skin condition, usually of the face, that is common in adolescents.
acned	adjective. Marked by acne; suffering from acne.
acnes	noun. plural of acne
acnode	noun. An isolated point not upon a curve, but whose coordinates satisfy the equation of the curve so that it is considered as belonging to
aconite	noun. The herb wolfsbane, or monkshood; any plant of the genus Aconitum, all the species of which are poisonous.
acorn	noun. The fruit of the oak, being an oval nut growing in a woody cup or cupule.
acorns	noun. plural of acorn
acoustic	adjective. Pertaining to the sense of hearing, the organs of hearing, or the science of sounds.
acre	noun. An English unit of land area (symbol: a. or ac.) originally denoting a day 's ploughing for a yoke of oxen, now standardized as 4,840
acred	adjective. Owning or possessing many acres of land.
acres	noun. plural of acre
acrid	adjective. Sharp and harsh, or bitter and not to the taste.
act	symbol. ISO 639-3 language code for Achterhooks.
acted	verb. simple past and past participle of act
actin	noun. A globular structural protein that polymerizes in a helical fashion to form an actin filament (or microfilament).
acting	adjective. Temporarily assuming the duties or authority of another person when they are unable to do their job.
actinide	noun. Any of the 15 radioactive elements of the periodic table from actinium to lawrencium that are positioned under the lanthanides, to
actins	noun. plural of actin
action	noun. The effort of performing or doing something.
activate	verb. To encourage development or induce increased activity; to stimulate.
active	adjective. Having the power or quality of acting; causing change; communicating action or motion; acting;, opposed to passive, that
actively	adverb. In an active manner.
activity	noun. The state or quality of being active; activeness.
actor	noun. Someone who institutes a legal suit; a plaintiff or complainant.
actors	noun. plural of actor
acts	noun. plural of act
actual	adjective. relating to a person's acts or deeds; active, practical
actually	adverb. In act or in fact; really; in truth; positively.
acuate	adjective. Sharpened; sharp-pointed.
aculei	noun. plural of aculeus
acute	adjective. Brief, quick, short.
acuter	adjective. comparative form of acute: more acute
acyl	noun. Any of class of organic radicals, RCO-, formed by the removal of a hydroxyl group from a carboxylic acid.
acyls	noun. plural of acyl
adage	noun. An old saying which has obtained credit by long use.
adagio	noun. A tempo mark directing that a passage is to be played rather slowly, leisurely and gracefully.
add	symbol. ISO 639-3 language code for Dzodinka.
added	verb. simple past and past participle of add
adder	noun. Any snake.
addible	adjective. Capable of being added; thus: Capable of being added on (introduced to the context).
addict	noun. A person who is addicted, especially to a harmful drug.
addition	noun. The act of adding anything.
addle	adjective. Having lost the power of development, and become rotten; putrid.
addles	noun. plural of addle
adds	noun. plural of add
adduce	verb. To bring forward or offer, as an argument, passage, or consideration which bears on a statement or case; to cite; to allege.
adduct	verb. To draw towards a center or a middle line.
adeem	verb. To revoke (a legacy, grant, etc.) or to satisfy it by some other gift.
adenyl	noun. The univalent radical derived from adenine.
adept	adjective. Well skilled; completely versed; thoroughly proficient.
adequate	adjective. Equal to or fulfilling some requirement.
adhere	verb. To stick fast or cleave, as a glutinous substance does; to become joined or united.
adhering	verb. present participle and gerund of adhere
adieu	interjection. Said to wish a final farewell; goodbye.
adieus	noun. plural of adieu
adios	interjection. goodbye
adit	noun. A horizontal or nearly horizontal passage from the surface into a mine, as contrasted with a shaft or vertical entry passage, used
adits	noun. plural of adit
adjacent	adjective. Lying next to, close, or contiguous; neighboring; bordering on.
adman	noun. A person in the business of devising, writing, illustrating or selling advertisements.
admen	noun. plural of adman
admire	verb. To be amazed at; to view with surprise; to marvel at.
admit	verb. To allow to enter; to grant entrance (to), whether into a place, into the mind, or into consideration
adnate	adjective. Linked or fused to a structure of a type different from itself; for example, attachment of a stamen to a petal is adnate, while
ado	symbol. ISO 639-3 language code for Abu.
adobe	noun. An unburnt brick dried in the sun.
adobes	noun. plural of adobe
adobo	noun. A Philippine dish in which pork or chicken is slowly cooked in a sauce including soy sauce, vinegar, and crushed garlic.
adopt	verb. To take (a child, heir, friend, citizen, etc.) by choice into a relationship.
adoption	noun. The act of adopting.
adopts	verb. third-person singular simple present indicative of adopt
adore	verb. To worship.
adores	verb. third-person singular simple present indicative of adore
adorn	verb. To make more beautiful and attractive; to decorate.
ados	noun. plural of ado
adown	adverb. Down, downward; to or in a lower place.
adrenal	adjective. Pertaining to the adrenal glands (suprarenal glands), their secretions, or the function derived therefrom.
adroit	adjective. deft, dexterous, or skillful
ads	symbol. ISO 639-3 language code for Adamorobe Sign Language.
adsorb	verb. To accumulate on a surface, by adsorption.
adunc	adjective. Curved inward, hooked.
adust	adjective. Abnormally dark or over- concentrated (associated with various states of discomfort or illness, specifically being too hot or
advance	verb. To promote or advantage.
advanced	verb. simple past and past participle of advance
advect	verb. To transport (something) by advection.
advisor	noun. One who offers advice.
advisory	adjective. Able to give advice.
advocate	noun. Someone whose job is to speak for someone's case in a court of law; a counsel.
aecia	noun. plural of aecium
aecial	adjective. Of, pertaining to, or resembling an aecium.
aedile	noun. An elected official who was responsible for the maintenance of public buildings, regulation of festivals, supervision of markets and
aedine	adjective. Relating to, or characteristic of mosquitos of the genus Aedes
aegis	noun. A mythological shield associated with the Greek deities Zeus and Athena (and their Roman counterparts Jupiter and Minerva) shown as a
aeon	noun. Commonwealth standard spelling of eon.
aeonic	adjective. Alternative spelling of eonic.
aeons	noun. plural of aeon
aerate	verb. To supply with oxygen or air.
aerates	verb. third-person singular simple present indicative of aerate
aerial	adjective. Living or taking place in the air.
aerie	noun. US standard spelling of eyrie.
aeried	adjective. Having aeries
aeries	noun. plural of aerie
aerily	adverb. In an aerial manner
aero	adjective. Of or pertaining to aviation.
aery	noun. Dated spelling of eyrie.
aether	noun. Alternative spelling of ether.
afar	adverb. At, to, or from a great distance; far away.
aff	noun. Clipping of affirmation.
affine	adjective. Assigning finite values to finite quantities.
afire	adverb. On fire (often metaphorically).
afoot	adverb. On foot. (means of locomotion, walking)
afore	adverb. Before, temporally.
afreet	noun. Alternative spelling of ifrit.
afrit	noun. Alternative spelling of ifrit.
aft	symbol. ISO 639-3 language code for Afitti.
after	adverb. Behind; later in time; following.
afters	noun. Dessert.
aga	symbol. ISO 639-3 language code for Aguano.
again	adverb. Another time: indicating a repeat of an action.
agamic	adjective. Occurring without the union of male and female gametes; asexual.
agar	noun. A gelatinous substance obtained from red algae, especially Gracilaria species, used as a bacterial culture medium, in electrophoresis
agaric	noun. Any of various fungi, principally of the order Agaricales, having fruiting bodies consisting of umbrella -like caps, on stalks, with
agas	noun. plural of aga
agate	noun. A semitransparent, uncrystallized silicate mineral and semiprecious stone, presenting various tints in the same specimen, with colors
agates	noun. plural of agate
agaze	adjective. Gazing.
age	symbol. ISO 639-3 language code for Angal.
aged	adjective. Old.
agrees	verb. third-person singular simple present indicative of agree
ague	noun. An acute fever.
aha	symbol. ISO 639-3 language code for Ahanta.
ahead	adverb. At or towards the front; in the direction one is facing or moving.
ahem	interjection. The sound of a quiet cough or of clearing one's throat.
ahorse	adverb. On the back of a horse; on horseback.
ahoy	interjection. Used to hail a ship, a boat or a person, or to attract attention.
aid	symbol. ISO 639-3 language code for Alngith.
aide	noun. An assistant.
aided	verb. simple past and past participle of aid
aider	noun. A person who aids or assists.
aiders	noun. plural of aider
aides	noun. plural of aide
aidman	noun. An army medical corpsman attached to a field unit.
aidmen	noun. plural of aidman
aids	noun. plural of aid
aiglet	noun. A tip, originally of metal and often decorative, on a ribbon or cord that makes lacing two parts of a garment or garments together
aigret	noun. Alternative spelling of aigrette.
ail	symbol. ISO 639-3 language code for Aimele.
ailed	verb. simple past and past participle of ail
aileron	noun. The hinged part on the trailing edge of an airplane wing, used to control longitudinal turns.
ailment	noun. Something which ails one; a disease; sickness.
ails	noun. plural of ail
aim	symbol. ISO 639-3 language code for Aimol.
aimed	verb. simple past and past participle of aim
aimer	noun. One who aims; one who is responsible for aiming.
aimers	noun. plural of aimer
aiming	verb. present participle and gerund of aim
aims	noun. plural of aim
ain	symbol. ISO 639-2 & ISO 639-3 language code for Ainu.
ains	noun. plural of ain
aioli	noun. A type of sauce made from garlic and olive oil, often with egg and lemon juice and similar to mayonnaise.
air	symbol. ISO 639-3 language code for Airoran.
aircraft	noun. A vehicle capable of atmospheric flight due to interaction with the air, such as buoyancy or lift.
aired	verb. simple past and past participle of air
airer	noun. A framework upon which laundry is aired; a clotheshorse.
airest	verb. second-person singular simple present indicative of air
airier	adjective. comparative form of airy: more airy
airily	adverb. In an airy manner.
airing	noun. Exposure of something to the air, especially fresh or warm air for the purpose of ventilating or drying; an instance of this.
airman	noun. A pilot of an aircraft.
airmen	noun. plural of airman
airn	verb. To earn.
airns	verb. third-person singular simple present indicative of airn
airs	noun. plural of air
airt	verb. To guide; to direct.
airted	verb. simple past and past participle of airt
airth	noun. Alternative spelling of earth.
airting	verb. present participle and gerund of airt
airts	verb. third-person singular simple present indicative of airt
airy	adjective. Consisting of air.
ais	noun. plural of ai
aisle	noun. A wing of a building, notably in a church separated from the nave proper by piers.
aisled	adjective. Having aisles.
aisles	noun. plural of aisle
ait	symbol. ISO 639-3 language code for Arikem.
aitch	noun. The name of the Latin script letter H / h.
aits	noun. plural of ait
akee	noun. Alternative spelling of ackee.
akees	noun. plural of akee
akene	noun. Alternative spelling of achene.
akenes	noun. plural of akene
akin	adjective. Of persons, of the same kin; related by blood.
ala	symbol. ISO 639-3 language code for Alago.
alae	noun. plural of ala.
alamo	noun. A poplar tree of Southwestern U.S.; a cottonwood (Populus spp.).
alan	noun. Alternative form of alaunt.
aland	adverb. On dry land, as opposed to in the water.
alane	noun. Aluminium hydride, AlH 3.
alang	preposition. Pronunciation spelling of along.
alanin	noun. Archaic form of alanine.
alans	noun. plural of alan
alant	noun. Alternative form of alaunt.
alants	noun. plural of alant
alanyl	noun. The univalent acyl radical, CH 3 CH(NH 2)CO-, derived from the amino acid alanine.
alar	adjective. Of or relating to the armpit; axillary.
alarm	noun. A summons to arms, as on the approach of an enemy.
alarming	verb. present participle and gerund of alarm
alary	adjective. Pertaining to wings.
alas	interjection. Used to express sorrow, regret, compassion, grief, resignation, or disappointment.
alate	adjective. Having wings or winglike extensions or parts; winged.
alates	noun. plural of alate
alation	noun. The state of being winged.
alb	symbol. ISO 639-2 /B language code for Albanian.
alba	noun. A type of lyrical poetry, traditionally Provençal, about lovers who must part at dawn.
albeit	conjunction. Although, despite (it) being.
albite	noun. A plagioclase feldspar, the first member of the Albite-Anorthite solid solution series.
albites	noun. plural of albite
albs	noun. plural of alb
album	noun. In Ancient Rome, a white tablet or register on which the praetor 's edicts and other public notices were recorded.
alcade	noun. Alternative form of alcaide.
alchemic	adjective. alchemical.
alcid	noun. A bird of the family Alcidae, including auks, auklets, razorbills, dovekies, guillemots, and puffins.
alder	noun. Any of several trees or shrubs of the genus Alnus, belonging to the birch family.
aldol	noun. Any aldehyde or ketone having a hydroxy group in the beta-position
aldose	noun. Any of a class of monosaccharides having an aldehyde or hemiacetal functional group.
ale	symbol. ISO 639-2 & ISO 639-3 language code for Aleut.
alec	noun. An anchovy or herring, especially pickled or dried.
alecs	noun. plural of alec
alee	adverb. On the lee side of a ship, to the leeward side (vs aweather)
alef	noun. Alternative form of aleph.
alefs	noun. plural of alef
alegar	noun. vinegar produced from fermented ale.
aleph	noun. The first letter of the Proto-Canaanite alphabet, and its descendants in descended Semitic scripts, such as Phoenician 𐤀 (ʾ,
alert	adjective. Attentive; awake; on guard.
alerting	verb. present participle and gerund of alert
alerts	noun. plural of alert
ales	noun. plural of ale
alevin	noun. Newly hatched fish, especially salmon.
alga	noun. Any of many aquatic photosynthetic organisms, including the seaweeds, whose size ranges from a single cell to giant kelps and whose
algae	noun. plural of alga
algebra	noun. Elementary algebra: A system for representing and manipulating unknown quantities (variables) in equations.
algid	adjective. Cold, chilly; used of low body temperature, especially in connection with certain diseases such as malaria and cholera.
algin	noun. Any of various gelatinous gums, derivatives of alginic acid, derived from marine brown algae and used especially as emulsifiers or
algins	noun. plural of algin
algoid	adjective. Resembling, or characteristic of algae
alias	adverb. Otherwise; at another time; in other circumstances; otherwise called; also known as; formerly known as.
alibi	noun. The plea or mode of defense under which a person on trial for a crime proves or attempts to prove being in another place when the
alible	adjective. Nourishing.
alien	noun. A person, animal, plant, or other thing which is from outside the family, group, organization, or territory under consideration.
aliened	verb. simple past and past participle of alien
alienor	noun. A person who alienates a property.
aliens	noun. plural of alien
alif	noun. The first letter of the Arabic alphabet: ا (ʔalif).
aliform	adjective. Shaped like a wing.
alifs	noun. plural of alif
alight	verb. To make less heavy; to lighten; to alleviate, to relieve.
align	verb. To form a line; to fall into line.
aligner	noun. One who, or that which, aligns.
aligns	verb. third-person singular simple present indicative of align
aliment	noun. Food.
aline	verb. Alternative form of align.
alined	adjective. Alternative spelling of aligned.
aliner	noun. Archaic form of aligner.
alines	verb. third-person singular simple present indicative of aline
alist	noun. An association list.
alit	verb. simple past and past participle of alight
alive	adjective. Having life; living; not dead.
aliya	noun. Alternative spelling of aliyah.
aliyas	noun. plural of aliya
aliyos	noun. plural of aliya
all	symbol. ISO 639-3 language code for Allar.
allay	verb. To make quiet or put at rest; to pacify or appease; to quell; to calm.
allee	noun. A tree-lined avenue, often particularly one that is part of a landscaped garden.
allergic	adjective. Of or pertaining to allergy.
alley	noun. A narrow street or passageway, especially one through the middle of a block giving access to the rear of lots of buildings.
alleys	noun. plural of alley
alliance	noun. The state of being allied.
allocate	verb. To set aside for a purpose.
allod	noun. Allodium.
allonym	noun. A pseudonym, another person 's name used as a pseudonym by the author of a work.
allot	verb. To distribute or apportion by (or as if by) lot.
alloy	noun. A metal that is a combination of two or more elements, at least one of which is a metal, a base metal.
alloys	noun. plural of alloy
alls	determiner. All.
allure	noun. The power to attract, entice; the quality causing attraction.
ally	verb. To unite or form a connection between (people or things), as between families by marriage, or between states by confederacy, league,
allyl	noun. The univalent radical, CH 2 =CH-CH 2 -, existing especially in oils of garlic and mustard.
alma	noun. An Egyptian female singer or dancing girl employed for entertainment or as a professional mourner.
almas	noun. plural of alma
alme	noun. Alternative form of almah.
almeh	noun. Alternative form of almah.
almehs	noun. plural of almeh
almes	noun. Obsolete form of alms.
almner	noun. Obsolete spelling of almoner.
almond	noun. The seed within the drupe of a small deciduous tree in family Rosaceae, Prunus amygdalus, considered a culinary nut.
almonry	noun. A building in which alms were distributed.
alms	noun. Something given to the poor as charity, such as money, clothing or food.
alnico	noun. An alloy of aluminium, nickel and cobalt, sometimes alloyed with smaller amounts of iron, copper, titanium and used primarily in the
alodia	noun. plural of alodium
aloe	noun. The resins of the tree Aquilaria malaccensis (syn.
aloes	noun. plural of aloe
aloft	adverb. At, to, or in the air or sky.
aloin	noun. A glycoside derivative of anthracene, found in aloe, that is used as a laxative.
aloins	noun. plural of aloin
alone	adjective. By oneself, solitary.
along	preposition. By the length of; in a line with the length of; lengthwise next to.
